2024-06-18 15:37:42 startup archives unpack
2024-06-18 15:37:42 install gh:amd64 <none> 2.46.0-1
2024-06-18 15:37:42 status half-installed gh:amd64 2.46.0-1
2024-06-18 15:37:43 status unpacked gh:amd64 2.46.0-1
2024-06-18 15:37:43 startup packages configure
2024-06-18 15:37:43 configure gh:amd64 2.46.0-1 <none>
2024-06-18 15:37:43 status unpacked gh:amd64 2.46.0-1
2024-06-18 15:37:43 status half-configured gh:amd64 2.46.0-1
2024-06-18 15:37:43 status installed gh:amd64 2.46.0-1
2024-06-19 09:42:19 startup archives unpack
2024-06-19 09:42:19 install bzip2:amd64 <none> 1.0.8-5.1
2024-06-19 09:42:19 status half-installed bzip2:amd64 1.0.8-5.1
2024-06-19 09:42:19 status unpacked bzip2:amd64 1.0.8-5.1
2024-06-19 09:42:19 install manpages:all <none> 6.05.01-1
2024-06-19 09:42:19 status half-installed manpages:all 6.05.01-1
2024-06-19 09:42:19 status unpacked manpages:all 6.05.01-1
2024-06-19 09:42:19 install xz-utils:amd64 <none> 5.6.1+really5.4.5-1
2024-06-19 09:42:19 status half-installed xz-utils:amd64 5.6.1+really5.4.5-1
2024-06-19 09:42:19 status unpacked xz-utils:amd64 5.6.1+really5.4.5-1
2024-06-19 09:42:20 install binutils-common:amd64 <none> 2.42-4
2024-06-19 09:42:20 status half-installed binutils-common:amd64 2.42-4
2024-06-19 09:42:20 status unpacked binutils-common:amd64 2.42-4
2024-06-19 09:42:20 install libsframe1:amd64 <none> 2.42-4
2024-06-19 09:42:20 status triggers-pending libc-bin:amd64 2.38-10
2024-06-19 09:42:20 status half-installed libsframe1:amd64 2.42-4
2024-06-19 09:42:20 status unpacked libsframe1:amd64 2.42-4
2024-06-19 09:42:20 install libbinutils:amd64 <none> 2.42-4
2024-06-19 09:42:20 status half-installed libbinutils:amd64 2.42-4
2024-06-19 09:42:20 status unpacked libbinutils:amd64 2.42-4
2024-06-19 09:42:20 install libctf-nobfd0:amd64 <none> 2.42-4
2024-06-19 09:42:20 status half-installed libctf-nobfd0:amd64 2.42-4
2024-06-19 09:42:20 status unpacked libctf-nobfd0:amd64 2.42-4
2024-06-19 09:42:20 install libctf0:amd64 <none> 2.42-4
2024-06-19 09:42:20 status half-installed libctf0:amd64 2.42-4
2024-06-19 09:42:20 status unpacked libctf0:amd64 2.42-4
2024-06-19 09:42:20 install libgprofng0:amd64 <none> 2.42-4
2024-06-19 09:42:20 status half-installed libgprofng0:amd64 2.42-4
2024-06-19 09:42:20 status unpacked libgprofng0:amd64 2.42-4
2024-06-19 09:42:20 install binutils-x86-64-linux-gnu:amd64 <none> 2.42-4
2024-06-19 09:42:20 status half-installed binutils-x86-64-linux-gnu:amd64 2.42-4
2024-06-19 09:42:21 status unpacked binutils-x86-64-linux-gnu:amd64 2.42-4
2024-06-19 09:42:21 install binutils:amd64 <none> 2.42-4
2024-06-19 09:42:21 status half-installed binutils:amd64 2.42-4
2024-06-19 09:42:21 status unpacked binutils:amd64 2.42-4
2024-06-19 09:42:21 install libc-dev-bin:amd64 <none> 2.38-10
2024-06-19 09:42:21 status half-installed libc-dev-bin:amd64 2.38-10
2024-06-19 09:42:21 status unpacked libc-dev-bin:amd64 2.38-10
2024-06-19 09:42:21 install linux-libc-dev:all <none> 6.6.15-2kali1
2024-06-19 09:42:21 status half-installed linux-libc-dev:all 6.6.15-2kali1
2024-06-19 09:42:21 status unpacked linux-libc-dev:all 6.6.15-2kali1
2024-06-19 09:42:21 install libcrypt-dev:amd64 <none> 1:4.4.36-4
2024-06-19 09:42:21 status half-installed libcrypt-dev:amd64 1:4.4.36-4
2024-06-19 09:42:21 status unpacked libcrypt-dev:amd64 1:4.4.36-4
2024-06-19 09:42:21 install rpcsvc-proto:amd64 <none> 1.4.3-1
2024-06-19 09:42:21 status half-installed rpcsvc-proto:amd64 1.4.3-1
2024-06-19 09:42:22 status unpacked rpcsvc-proto:amd64 1.4.3-1
2024-06-19 09:42:22 install libc6-dev:amd64 <none> 2.38-10
2024-06-19 09:42:22 status half-installed libc6-dev:amd64 2.38-10
2024-06-19 09:42:22 status unpacked libc6-dev:amd64 2.38-10
2024-06-19 09:42:22 install gcc-13-base:amd64 <none> 13.2.0-24
2024-06-19 09:42:22 status half-installed gcc-13-base:amd64 13.2.0-24
2024-06-19 09:42:22 status unpacked gcc-13-base:amd64 13.2.0-24
2024-06-19 09:42:22 install libisl23:amd64 <none> 0.26-3+b2
2024-06-19 09:42:22 status half-installed libisl23:amd64 0.26-3+b2
2024-06-19 09:42:22 status unpacked libisl23:amd64 0.26-3+b2
2024-06-19 09:42:22 install libmpfr6:amd64 <none> 4.2.1-1+b1
2024-06-19 09:42:22 status half-installed libmpfr6:amd64 4.2.1-1+b1
2024-06-19 09:42:22 status unpacked libmpfr6:amd64 4.2.1-1+b1
2024-06-19 09:42:22 install libmpc3:amd64 <none> 1.3.1-1+b2
2024-06-19 09:42:22 status half-installed libmpc3:amd64 1.3.1-1+b2
2024-06-19 09:42:22 status unpacked libmpc3:amd64 1.3.1-1+b2
2024-06-19 09:42:22 install cpp-13-x86-64-linux-gnu:amd64 <none> 13.2.0-24
2024-06-19 09:42:22 status half-installed cpp-13-x86-64-linux-gnu:amd64 13.2.0-24
2024-06-19 09:42:23 status unpacked cpp-13-x86-64-linux-gnu:amd64 13.2.0-24
2024-06-19 09:42:23 install cpp-13:amd64 <none> 13.2.0-24
2024-06-19 09:42:23 status half-installed cpp-13:amd64 13.2.0-24
2024-06-19 09:42:23 status unpacked cpp-13:amd64 13.2.0-24
2024-06-19 09:42:23 install cpp-x86-64-linux-gnu:amd64 <none> 4:13.2.0-7
2024-06-19 09:42:23 status half-installed cpp-x86-64-linux-gnu:amd64 4:13.2.0-7
2024-06-19 09:42:23 status unpacked cpp-x86-64-linux-gnu:amd64 4:13.2.0-7
2024-06-19 09:42:23 install cpp:amd64 <none> 4:13.2.0-7
2024-06-19 09:42:23 status half-installed cpp:amd64 4:13.2.0-7
2024-06-19 09:42:23 status unpacked cpp:amd64 4:13.2.0-7
2024-06-19 09:42:23 install libcc1-0:amd64 <none> 14-20240330-1
2024-06-19 09:42:23 status half-installed libcc1-0:amd64 14-20240330-1
2024-06-19 09:42:23 status unpacked libcc1-0:amd64 14-20240330-1
2024-06-19 09:42:23 install libgomp1:amd64 <none> 14-20240330-1
2024-06-19 09:42:23 status half-installed libgomp1:amd64 14-20240330-1
2024-06-19 09:42:23 status unpacked libgomp1:amd64 14-20240330-1
2024-06-19 09:42:23 install libitm1:amd64 <none> 14-20240330-1
2024-06-19 09:42:23 status half-installed libitm1:amd64 14-20240330-1
