2023-06-25 14:22:01, john_doe, 192.168.1.1, login_attempt, FAILED
2023-06-25 14:23:15, jane_smith, 192.168.1.2, file_upload, SUCCESS
2023-06-25 14:24:30, alice_johnson, 192.168.1.1, password_change, FAILED
2023-06-25 14:25:45, bob_brown, 192.168.1.3, login_attempt, SUCCESS
2023-06-25 14:27:00, charlie_clark, 192.168.1.4, file_deletion, FAILED
2023-06-25 14:28:10, emily_davis, 192.168.1.2, file_upload, SUCCESS
2023-06-25 14:29:20, frank_lee, 192.168.1.1, login_attempt, FAILED
2023-06-25 14:29:20, frank_lee, 192.168.1.1, login_attempt, FAILED
2023-06-25 14:29:20, frank_lee, 192.168.1.1, login_attempt, FAILED
2023-06-25 14:29:20, frank_lee, 192.168.1.1, login_attempt, FAILED
2023-06-25 14:29:20, frank_lee, 192.168.1.1, login_attempt, FAILED
2023-06-25 14:29:20, frank_lee, 192.168.1.1, login_attempt, FAILED
2023-06-25 14:29:20, frank_lee, 192.168.1.1, login_attempt, FAILED
2023-06-25 14:29:20, frank_lee, 192.168.1.1, login_attempt, FAILED
2023-06-25 14:29:20, frank_lee, 192.168.1.10, login_attempt, FAILED
2023-06-25 14:29:20, frank_lee, 192.168.1.3, login_attempt, FAILED
2023-06-25 14:29:20, frank_lee, 192.168.1.10, login_attempt, FAILED
2023-06-25 14:29:20, frank_lee, 192.168.1.13, login_attempt, FAILED
2023-06-25 14:30:35, grace_hall, 192.168.1.3, password_change, SUCCESS
2023-06-25 14:31:45, henry_moore, 192.168.1.5, file_deletion, FAILED
2023-06-25 14:33:00, irene_wright, 192.168.1.4, login_attempt, SUCCESS
2023-06-25 14:34:15, john_doe, 192.168.1.2, file_upload, FAILED
2023-06-25 14:35:30, jane_smith, 192.168.1.1, password_change, SUCCESS
2023-06-25 14:36:45, alice_johnson, 192.168.1.3, file_deletion, FAILED
2023-06-25 14:38:00, bob_brown, 192.168.1.5, login_attempt, SUCCESS
2023-06-25 14:39:15, charlie_clark, 192.168.1.4, file_upload, FAILED
2023-06-25 14:40:30, emily_davis, 192.168.1.2, password_change, SUCCESS
2023-06-25 14:41:45, frank_lee, 192.168.1.1, file_deletion, FAILED
2023-06-25 14:43:00, grace_hall, 192.168.1.3, login_attempt, SUCCESS
2023-06-25 14:44:15, henry_moore, 192.168.1.5, file_upload, FAILED
2023-06-25 14:45:30, irene_wright, 192.168.1.4, password_change, SUCCESS
2023-06-25 14:46:45, john_doe, 192.168.1.2, file_deletion, FAILED
2023-06-25 14:48:00, jane_smith, 192.168.1.1, file_upload, SUCCESS
2023-06-25 14:49:15, alice_johnson, 192.168.1.3, password_change, FAILED
2023-06-25 14:50:30, bob_brown, 192.168.1.5, login_attempt, SUCCESS
2023-06-25 14:51:45, charlie_clark, 192.168.1.4, file_deletion, FAILED
2023-06-25 14:53:00, emily_davis, 192.168.1.2, login_attempt, SUCCESS
2023-06-25 14:54:15, frank_lee, 192.168.1.1, file_upload, FAILED
2023-06-25 14:55:30, grace_hall, 192.168.1.3, password_change, SUCCESS
2023-06-25 14:56:45, henry_moore, 192.168.1.5, file_deletion, FAILED
