port: 21, service: ssh, status: active
port: 80, service: http, status: inactive
port: 443, service: https, status: active
port: 45, service: http, status: active
port: 3306, service: mysql, status: inactive
port: 3389, service: rdp, status: active
port: 5432, service: postgresql, status: active
port: 5900, service: vnc, status: inactive
port: 8080, service: tomcat, status: active
port: 9090, service: jenkins, status: active
port: 10000, service: webmin, status: inactive
port: 27017, service: mongodb, status: active
port: 33060, service: mysql-admin, status: inactive
port: 5433, service: postgresql-admin, status: inactive
port: 5901, service: vnc-admin, status: inactive
port: 8888, service: web-app, status: active
port: 9999, service: test-app, status: active
port: 1234, service: custom-app, status: inactive
port: 9876, service: another-app, status: active
port: 666, service: evil-shell, status: active
port: 4444, service: backdoor, status: active
port: 5555, service: trojan, status: active
port: 7777, service: exploit-kit, status: active
port: 8880, service: proxy, status: active
port: 9998, service: botnet, status: active
port: 6666, service: ransomware, status: active
port: 7771, service: rootkit, status: active
port: 5551, service: spyware, status: active
port: 1111, service: worm, status: active
port: 2222, service: keylogger, status: active
port: 3333, service: phishing, status: active
